"state.abb","y","nm","party","col","state.x","state.y","ev.r","ev.d","ev","total","clinton.rank","trump.rank","johnson.rank","margin","margin.p","clinton.p","trump.p","johnson.p","other.p","clinton","trump","johnson","other","x","legisNames"
"NY",-2.16800994367369,"Gillibrand (D-NY)","D","blue","New York","New York",0,29,0,7721453,1,2,3,1736590,22.49,59.01,36.52,2.29,2.19,4556124,2819534,176598,169197,36.52,"Gillibrand (D-NY)"
"OR",-1.80770134024465,"Merkley (D-OR)","D","blue","Oregon","Oregon",0,7,0,2001336,1,2,3,219703,10.98,50.07,39.09,4.71,6.13,1002106,782403,94231,122596,39.09,"Merkley (D-OR)"
"MA",-1.78893397792232,"Warren (D-MA)","D","blue","Massachusetts","Massachusetts",0,11,0,3325046,1,2,3,904303,27.2,60.01,32.81,4.15,3.04,1995196,1090893,138018,100939,32.81,"Warren (D-MA)"
"NJ",-1.69289158920767,"Booker (D-NJ)","D","blue","New Jersey","New Jersey",0,14,0,3906723,1,2,3,546345,13.98,54.99,41,1.86,2.15,2148278,1601933,72477,84035,41,"Booker (D-NJ)"
"NM",-1.65579811875582,"Udall (D-NM)","D","blue","New Mexico","New Mexico",0,5,0,798319,1,2,3,65567,8.21,48.26,40.04,9.34,2.36,385234,319667,74541,18877,40.04,"Udall (D-NM)"
"VT",-1.64285495617222,"Sanders (I-VT)","I","green","Vermont","Vermont",0,3,0,315067,1,2,4,83204,26.41,56.68,30.27,3.2,9.85,178573,95369,10078,31047,30.27,"Sanders (I-VT)"
"CT",-1.58702733959563,"Blumenthal (D-CT)","D","blue","Connecticut","Connecticut",0,7,0,1644920,1,2,3,224357,13.64,54.57,40.93,2.96,1.55,897572,673215,48676,25457,40.93,"Blumenthal (D-CT)"
"OR",-1.58582821758205,"Wyden (D-OR)","D","blue","Oregon","Oregon",0,7,0,2001336,1,2,3,219703,10.98,50.07,39.09,4.71,6.13,1002106,782403,94231,122596,39.09,"Wyden (D-OR)"
"MD",-1.26603939308285,"Van Hollen (D-MD)","D","blue","Maryland","Maryland",0,10,0,2781446,1,2,3,734759,26.42,60.33,33.91,2.86,2.9,1677928,943169,79605,80744,33.91,"Van Hollen (D-MD)"
"NM",-1.10254519268521,"Heinrich (D-NM)","D","blue","New Mexico","New Mexico",0,5,0,798319,1,2,3,65567,8.21,48.26,40.04,9.34,2.36,385234,319667,74541,18877,40.04,"Heinrich (D-NM)"
